place_title,concentration_title,concentration_aliases,note
국립경찰박물관,경찰박물관,,집중률 API가 기관 접두 없이 표기한다
대학천 책방거리,종로6가 대학천 책방거리,,집중률 API가 행정동을 앞에 붙인다
익선동 한옥거리,익선동,,집중률 API는 동 이름만 쓴다
낙산묘각사,묘각사(서울),,사찰명 표기가 서로 다르다
청와대 앞길,,청와대,"집중률 API에 '청와대 앞길'과 '청와대'가 모두 있다. 정확 일치는 그대로 두고 '청와대'만 별칭으로 붙인다"
"창덕궁과 후원 [유네스코 세계유산]",,창덕궁,"사용자는 '창덕궁'이라고 하는데 저장소 제목과 집중률 명칭 모두 '창덕궁과 후원'이다. 접두 매칭으로 넓히면 창덕궁 낙선재·약다방 같은 부속 시설이 걸리므로 별칭으로 명시한다"
한국은행 화폐박물관,화폐박물관,,집중률 API가 기관 접두 없이 표기한다
디키디키,어린이 감각놀이터 디키디키,,집중률 API가 시설 종류를 앞에 붙인다
서울 신당동 박정희 가옥,박정희대통령가옥,,같은 사적의 표기가 서로 다르다
신당동 떡볶이타운,신당동 떡볶이 골목,,집중률 API는 '골목'으로 places는 '타운'으로 쓴다
민주화운동기념관,민주인권기념관,,옛 남영동 대공분실. 같은 곳의 개명
뚝도청춘시장,뚝도시장,,전통시장 리뉴얼 후 명칭이 바뀌었다
성동 AI·미래기술체험센터,성동4차산업혁명체험센터,,같은 센터의 개명
중곡제일골목시장,중곡제일시장,,집중률 API가 '골목'을 빼고 쓴다
정릉아리랑시장,아리랑골목시장(정릉 아리랑 골목시장),,같은 시장의 표기가 서로 다르다
태릉강릉,태릉.강릉,,같은 능이고 주소가 같다
"서울 태릉(문정왕후)과 강릉(명종·인순왕후) [유네스코 세계유산]",태릉.강릉,,위 태릉강릉과 같은 곳이 두 건으로 등록돼 있다. 둘 다 같은 값을 받게 한다
서울시립 난지미술창작스튜디오,난지미술창작스튜디오,,집중률 API가 기관 접두 없이 표기한다
망원정 터,망원정지,,址와 터는 같은 뜻이다
양천도시농업공원,도시농업공원,,집중률 API가 구 접두 없이 표기한다
한생연 생명과학박물관,생명과학박물관,,집중률 API가 기관 접두 없이 표기한다
목동깨비시장,목3동시장(목동깨비시장),,집중률 API가 행정동 이름을 앞세우고 실제 이름을 괄호에 넣는다
갈산공원,갈산근린공원,,집중률 API가 '근린'을 붙여 쓴다
메이필드호텔,메이필드호텔서울,,집중률 API가 '서울'을 붙여 쓴다
스페이스K 서울,스페이스K,,집중률 API가 '서울'을 빼고 쓴다
방신전통시장,방신재래시장,,재래시장과 전통시장은 같은 뜻이다
서울특별시교육청융합과학교육원 남산분원,서울특별시교육청 과학전시관 (남산분관),,기관 개명으로 과학전시관→융합과학교육원·분관→분원. 입구가 용산 쪽이라 헷갈리지만 시설은 중구다
서울특별시교육청 융합과학교육원 남부분원,서울특별시교육청과학전시관 남부분관,,위 남산분원과 같은 개명 규칙
서울특별시교육청 융합과학교육원,서울특별시교육청 과학전시관,,융합과학교육원 본원. 위와 같은 개명 규칙
개봉유수지 생태공원,개봉 유수지,,집중률 API가 '생태공원'을 빼고 쓴다
여의도 물빛광장,물빛광장,,집중률 API가 지역 접두 없이 표기한다
영등포공원,영등포근린공원,,집중률 API가 '근린'을 붙여 쓴다
호림박물관 신림본관,호림박물관,,집중률 API가 분관 이름 없이 표기한다
우면산 소망탑,우면산 소망탑 전망대,,집중률 API가 '전망대'를 붙여 쓴다
설화수 도산 플래그십 스토어,설화수 플래그십 스토어,,집중률 API가 지점명 없이 표기한다
학동근린공원,학동공원,,집중률 API가 '근린'을 빼고 쓴다
한솔근린공원,한솔공원,,집중률 API가 '근린'을 빼고 쓴다
암사동 선사유적박물관,암사선사유적박물관,,집중률 API가 '동'을 빼고 쓴다
일자산 허브천문공원,허브천문공원,,집중률 API가 지역 접두 없이 표기한다
