case_id,user_input,expected_question_type,group,note
VS-001,보성사터에 아이들과 가기 좋아?,facility,visit_suitability,동반자 적합성 - 갈 수 있는지를 묻는다
VS-002,경복궁 애기 데리고 갈만해?,facility,visit_suitability,영유아 동반 - 유모차·수유실이 답이다
VS-003,창덕궁 어르신 모시고 가기 괜찮아?,facility,visit_suitability,고령 동반 - 휠체어 접근·장애인 화장실이 답이다
VS-004,광장시장 아이랑 가기 어때?,facility,visit_suitability,어때 형태
VS-005,인사동 애기랑 가도 괜찮아?,facility,visit_suitability,가도 될까 형태 - GI-003과 서술어만 다르다
VS-006,북촌한옥마을 노약자랑 가도 될까?,facility,visit_suitability,고령·거동 불편 동반
VS-007,경복궁 유아 데리고 가도 돼?,facility,visit_suitability,어휘 변형 - 유아
VS-008,광장시장 아기랑 갈만해?,facility,visit_suitability,어휘 변형 - 아기
VS-009,북촌한옥마을 임산부랑 가도 될까?,facility,visit_suitability,어휘 변형 - 임산부. 동반자 범주가 영유아·고령만이 아니다
VS-010,창덕궁 초등학생이랑 가기 괜찮아?,facility,visit_suitability,어휘 변형 - 초등학생. 유모차·수유실이 답이 아닌 연령대다
FA-001,경복궁 화장실 있어?,facility,neighbor,편의시설 - 넓힌 정의가 기존 판정을 흔들면 안 된다
FA-002,창덕궁 휠체어로 들어갈 수 있어?,facility,neighbor,접근성 - TP-144가 답하게 만든 질문이다
FA-003,광장시장 유모차 대여돼?,facility,neighbor,대여 여부
GI-001,보성사터가 어떤 곳이야?,general_info,neighbor,장소 개요
GI-002,익선동 한옥거리 소개해줘,general_info,neighbor,장소 설명
CO-001,경복궁 주말에 사람 많아?,concentration,neighbor,혼잡도 - 미래 시점
CO-002,북촌한옥마을 붐빌까?,concentration,neighbor,혼잡도 - 직접 표현
OH-001,창덕궁 오늘 열어?,operating_hours,neighbor,운영 여부
PK-001,경복궁 주차 가능해?,parking,neighbor,정적 주차 - 대상이 명확한 장소 하나. 트리거 완화가 이 판정을 흔들면 안 된다
RP-001,경복궁 주변 주차되는 곳 있어?,realtime_parking,realtime_parking,시제 키워드 없이 "주변"만으로도 실시간 주차로 가야 한다(TP-115)
RP-002,지금 경복궁 주변 주차 자리 있어?,realtime_parking,realtime_parking,기존 시제 키워드 형태 - 회귀 확인용
RP-003,경복궁 근처 공영주차장 자리 있어?,realtime_public_parking,realtime_public_parking,공영 명시 - GetParkingInfo 경로
RP-004,종로구 시영주차장 지금 어디가 비어 있어?,realtime_public_parking,realtime_public_parking,시영 명시 - 구 단위 공영주차장 경로
RT-001,이촌한강공원 가는길 막혀?,realtime_traffic,realtime_traffic,신규 유형 - 도로소통
RT-002,지금 도로 많이 막혀?,realtime_traffic,realtime_traffic,신규 유형 - 시제 키워드 포함 형태
RE-001,축제 추천해줘,realtime_event,realtime_event,추천 형태 - 지명 없음. 장소가 아니라 행사라 RECOMMEND가 아니다(TP-237)
RE-002,전시회 추천해줘,realtime_event,realtime_event,추천 형태 - 미술관 추천(장소)과 갈리는 경계
RE-003,콘서트 갈 만한 곳 알려줘,realtime_event,realtime_event,"""갈 만한 곳""이라 장소처럼 보이지만 찾는 대상은 행사다"
RE-004,공연 볼 만한 데 추천해줘,realtime_event,realtime_event,공연장(장소)과 공연(행사)이 한 발화에 섞이는 경우
RE-005,강남구 축제 추천해줘,realtime_event,realtime_event,지명이 있어도 찾는 대상이 행사면 같은 유형
PT-001,근처에 화장실 있어?,public_toilet,public_toilet,지명 없음 - 기기 위치로 답한다
PT-002,인사동 화장실 어디야?,public_toilet,public_toilet,지명 + 어디 - 위치를 찾는다
PT-003,화장실 급한데 어디로 가?,public_toilet,public_toilet,돌발 상황 표현
PT-004,가까운 공중화장실 알려줘,public_toilet,public_toilet,공중화장실 명시
PT-005,경복궁 근처 화장실 어디야?,public_toilet,public_toilet,지명이 있어도 근처를 찾으면 이쪽이다
PT-006,경복궁 화장실 있어?,facility,public_toilet,경계 - 그 장소 하나의 시설이라 facility다
