content_id,content_type_id,title,address,latitude,longitude,area_code,district_code,lcls_systm1,lcls_systm2,lcls_systm3,operating_hours_raw,rest_date_raw,operating_schedule,operating_parse_status,operating_parser_version,source_modified_at,list_fetched_at,detail_fetched_at,last_seen_at,detail_fetch_status,detail_error_code,is_active,inactive_reason,inactive_at,last_sync_run_id,created_at,updated_at
1013527,38,광장시장 한복매장,서울특별시 종로구 창경궁로 88 (예지동),37.5702347233,126.9980663554,11,110,SH,SH06,SH060200,09:00~18:00<br>※ 점포 별로 상이함,연중무휴<br>※ 점포 별로 상이함,"{""rules"":[{""months"":null,""weekdays"":null,""source_text"":""09:00~18:00"",""time_ranges"":[{""end"":""18:00"",""start"":""09:00"",""crosses_midnight"":false}],""last_admission"":null}],""warnings"":[],""availability"":""scheduled"",""closure_rules"":[],""assumption_reason"":null}",parsed,operating-hours-1.0.0,2025-07-31T02:53:44+00:00,2026-07-23T17:16:48.538813+00:00,2026-07-23T17:16:48.538813+00:00,2026-07-23T17:16:48.538813+00:00,success,,True,,,9fe817b4-a60d-4ea0-8f88-0623954b32f0,2026-07-23T17:11:40.721834+00:00,2026-07-23T17:21:24.405648+00:00
1013559,38,동대문종합시장 액세서리상가,서울특별시 종로구 종로 266 (종로6가),37.5709736927,127.0073349346,11,110,SH,SH05,SH050200,09:30~19:00,매주 일요일,"{""rules"":[{""months"":null,""weekdays"":null,""source_text"":""09:30~19:00"",""time_ranges"":[{""end"":""19:00"",""start"":""09:30"",""crosses_midnight"":false}],""last_admission"":null}],""warnings"":[],""availability"":""scheduled"",""closure_rules"":[{""weekdays"":[6],""source_text"":""매주 일요일""}],""assumption_reason"":null}",parsed,operating-hours-1.0.0,2025-11-27T06:48:55+00:00,2026-07-23T17:16:48.538813+00:00,2026-07-23T17:16:48.538813+00:00,2026-07-23T17:16:48.538813+00:00,success,,True,,,9fe817b4-a60d-4ea0-8f88-0623954b32f0,2026-07-23T17:11:40.808988+00:00,2026-07-23T17:21:31.037317+00:00
1013584,38,동대문종합시장 한복상가,서울특별시 종로구 종로 266 (종로6가),37.5709736927,127.0073349346,11,110,SH,SH06,SH060200,08:00~18:00 <br> ※ 매장별 상이,매주 일요일 <br> ※ 혼수용품 일요일 자율영업,"{""rules"":[{""months"":null,""weekdays"":null,""source_text"":""08:00~18:00"",""time_ranges"":[{""end"":""18:00"",""start"":""08:00"",""crosses_midnight"":false}],""last_admission"":null}],""warnings"":[],""availability"":""scheduled"",""closure_rules"":[{""weekdays"":[6],""source_text"":""매주 일요일""}],""assumption_reason"":null}",parsed,operating-hours-1.0.0,2025-12-23T05:52:52+00:00,2026-07-23T17:16:48.538813+00:00,2026-07-23T17:16:48.538813+00:00,2026-07-23T17:16:48.538813+00:00,success,,True,,,9fe817b4-a60d-4ea0-8f88-0623954b32f0,2026-07-23T17:11:40.808988+00:00,2026-07-23T17:21:31.087906+00:00
1018469,15,서울국제작가축제,서울특별시 종로구 인사동9길 26 (견지동),37.5734199329,126.9836265705,11,110,EV,EV03,EV030400,프로그램 별 상이,,"{""rules"":[],""warnings"":[""운영시간을 구조화하지 못했습니다.""],""availability"":""unknown"",""closure_rules"":[],""assumption_reason"":null}",partial,operating-hours-1.0.0,2026-06-15T07:51:04+00:00,2026-07-23T17:16:48.538813+00:00,2026-07-23T17:16:48.538813+00:00,2026-07-23T17:16:48.538813+00:00,success,,True,,,9fe817b4-a60d-4ea0-8f88-0623954b32f0,2026-07-23T17:11:40.955853+00:00,2026-07-23T17:21:39.917237+00:00
1018855,39,달 카페,서울특별시 종로구 삼청로 94-1,37.5837782184497,126.982031720136,11,110,FD,FD05,FD050100,- 월요일~금요일 10:00~17:30- 토요일~일요일 10:00~18:00,연중무휴,"{""rules"":[{""months"":null,""weekdays"":null,""source_text"":""- 월요일~금요일 10:00~17:30- 토요일~일요일 10:00~18:00"",""time_ranges"":[{""end"":""17:30"",""start"":""10:00"",""crosses_midnight"":false},{""end"":""18:00"",""start"":""10:00"",""crosses_midnight"":false}],""last_admission"":null}],""warnings"":[],""availability"":""scheduled"",""closure_rules"":[],""assumption_reason"":null}",parsed,operating-hours-1.0.0,2026-02-06T08:40:24+00:00,2026-07-23T17:16:48.538813+00:00,2026-07-23T17:16:48.538813+00:00,2026-07-23T17:16:48.538813+00:00,success,,True,,,9fe817b4-a60d-4ea0-8f88-0623954b32f0,2026-07-23T17:11:40.808988+00:00,2026-07-23T17:21:29.154006+00:00
1019041,12,와룡공원,서울특별시 종로구 와룡공원길 192,37.5912265856,126.9901581479,11,110,VE,VE03,VE030100,상시 개방,연중무휴,"{""rules"":[],""warnings"":[""운영시간을 구조화하지 못했습니다.""],""availability"":""unknown"",""closure_rules"":[],""assumption_reason"":null}",partial,operating-hours-1.0.0,2025-04-17T00:21:52+00:00,2026-07-23T17:16:48.538813+00:00,2026-07-23T17:16:48.538813+00:00,2026-07-23T17:16:48.538813+00:00,success,,True,,,9fe817b4-a60d-4ea0-8f88-0623954b32f0,2026-07-23T17:11:41.225101+00:00,2026-07-23T17:21:49.952488+00:00
1019223,38,한지추억,서울특별시 종로구 인사동7길 6 (관훈동) 3층,37.5731706271439,126.985784209044,11,110,SH,SH05,SH050100,,,"{""rules"":[],""warnings"":[],""availability"":""unknown"",""closure_rules"":[],""assumption_reason"":null}",unknown,operating-hours-1.0.0,2026-01-19T06:49:49+00:00,2026-07-23T17:16:48.538813+00:00,2026-07-23T17:16:48.538813+00:00,2026-07-23T17:16:48.538813+00:00,empty,,True,,,9fe817b4-a60d-4ea0-8f88-0623954b32f0,2026-07-23T17:11:41.44801+00:00,2026-07-23T17:22:04.536834+00:00
1019294,14,서울특별시교육청 정독도서관,서울특별시 종로구 북촌로5길 48,37.5797611278,126.9832368815,11,110,VE,VE09,VE090300,"[인문사회자연과학실, 어문학·족보실]<br>
- 평일 09:00~20:00<br>
- 주말 09:00~17:00<br>
[어린이실, 청소년관, 다국어·연속간행물실, 디지털자료실, 서울교육박물관]<br>
- 평일 09:00~18:00<br>
- 주말 09:00~17:00 <br>
[자율학습실, 노트북실]<br>
- 하절기 (3월~10월) 07:00~22:00<br>
- 동절기 (11월~2월) 08:00~22:00","매월 첫째, 셋째 수요일 / 일요일을 제외한 법정공휴일 (단, 공휴일과 일요일이 겹칠 경우 휴관) / 도서관 사정으로 임시로 정하는 휴일","{""rules"":[{""months"":null,""weekdays"":null,""source_text"":""- 평일 09:00~20:00"",""time_ranges"":[{""end"":""20:00"",""start"":""09:00"",""crosses_midnight"":false}],""last_admission"":null},{""months"":null,""weekdays"":null,""source_text"":""- 주말 09:00~17:00"",""time_ranges"":[{""end"":""17:00"",""start"":""09:00"",""crosses_midnight"":false}],""last_admission"":null},{""months"":null,""weekdays"":null,""source_text"":""- 평일 09:00~18:00"",""time_ranges"":[{""end"":""18:00"",""start"":""09:00"",""crosses_midnight"":false}],""last_admission"":null},{""months"":null,""weekdays"":null,""source_text"":""- 주말 09:00~17:00"",""time_ranges"":[{""end"":""17:00"",""start"":""09:00"",""crosses_midnight"":false}],""last_admission"":null},{""months"":[3,4,5,6,7,8,9,10],""weekdays"":null,""source_text"":""- 하절기 (3월~10월) 07:00~22:00"",""time_ranges"":[{""end"":""22:00"",""start"":""07:00"",""crosses_midnight"":false}],""last_admission"":null},{""months"":[1,2,11,12],""weekdays"":null,""source_text"":""- 동절기 (11월~2월) 08:00~22:00"",""time_ranges"":[{""end"":""22:00"",""start"":""08:00"",""crosses_midnight"":false}],""last_admission"":null}],""warnings"":[""휴무 문구의 일부 예외를 구조화하지 못했습니다.""],""availability"":""scheduled"",""closure_rules"":[],""assumption_reason"":null}",partial,operating-hours-1.0.0,2025-12-11T00:15:24+00:00,2026-07-23T17:16:48.538813+00:00,2026-07-23T17:16:48.538813+00:00,2026-07-23T17:16:48.538813+00:00,success,,True,,,9fe817b4-a60d-4ea0-8f88-0623954b32f0,2026-07-23T17:11:40.955853+00:00,2026-07-23T17:21:40.93631+00:00
1036894,28,[북악하늘길 1산책로] 북악팔각정~말바위쉼터,서울특별시 종로구 북악산로 267 (평창동),37.6019731946347,126.980550789268,11,110,LS,LS01,LS011900,,,"{""rules"":[],""warnings"":[],""availability"":""unknown"",""closure_rules"":[],""assumption_reason"":null}",unknown,operating-hours-1.0.0,2026-02-24T09:24:58+00:00,2026-07-23T17:16:48.538813+00:00,2026-07-23T17:16:48.538813+00:00,2026-07-23T17:16:48.538813+00:00,empty,,True,,,9fe817b4-a60d-4ea0-8f88-0623954b32f0,2026-07-23T17:11:41.44801+00:00,2026-07-23T17:22:08.420739+00:00
1037027,28,[북악하늘길 3산책로] 북카페~숲속다리,서울특별시 성북구 성북동,37.6068219183,126.9858969827,11,110,LS,LS01,LS011900,,,"{""rules"":[],""warnings"":[],""availability"":""unknown"",""closure_rules"":[],""assumption_reason"":null}",unknown,operating-hours-1.0.0,2025-04-03T06:30:11+00:00,2026-07-23T17:16:48.538813+00:00,2026-07-23T17:16:48.538813+00:00,2026-07-23T17:16:48.538813+00:00,empty,,True,,,9fe817b4-a60d-4ea0-8f88-0623954b32f0,2026-07-23T17:11:41.44801+00:00,2026-07-23T17:22:08.474319+00:00
